昵称,地区,性别,粉丝数,用户发布微博数量,评论
CP才是王道,宁夏 银川,女,30,185,"亲亲，这边建议这么爱烟的话二手烟也要把握住了，不能让别人吸走一丝一毫。最好带个面罩，呼出来的二手烟再吸一遍，美滋滋呀！让别人吸走岂不是损害了您的利益吗<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
胡叶宝恋,其他,女,9,10373,你又看见他是谁了 真是牛
吃蜜糖的小猫咪,江苏 常州,女,27,3,所以你也是在公众场所吸烟的那位了吗
苍牛公公,浙江 杭州,女,94,453,当然对啦
你杠就是你对只因你是铅笔,北京 朝阳区,男,416,1471,看见都在骂你我就放心了
Best_ending_95,其他,女,18,194,"公共场合吸烟也是不道德的吧<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />难道不违反公序良俗吗？"
比奇堡最美的人,河南,女,139,1322,"好了知道你是男的还抽烟了<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />"
驴公子,福建 龙岩,女,593,538,作为普通人不想吸二手烟难道有错吗
小鱼烩面-,其他,女,46,12,以后吸二手烟去吧你
都开始送货厚度,其他,女,4,5,"你是黄铉辰黑粉吗<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />"
S婢在哪里,天津,女,1,2,"<a href=/n/S婢在哪里 usercard=""name=@S婢在哪里"">@S婢在哪里</a>：你有三观吗？烟鬼"
仲盲幸月,天津,女,17,3965,"那你多吸点二手烟<img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" />"
草莓世富霑,陕西,女,371,6568,要是不拍视频，你这种人就又该说她没证据了。
慢半拍的Queenie,其他,女,1039,3702,乡里别
lm口袋的天空,黑龙江 哈尔滨,女,68,326,"有啥不对，艺人也要有公平的待遇<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
不负好时光SSJJ,江西 上饶,男,114,292,被拍的是你爹吧
612刘一二,北京 西城区,女,89,934,公众人物更要勇敢呀
雨季不再来_w,其他,男,126,1212,蹭流量的？
奔跑的绿猪,其他,女,172,4739,他都不要脸了 那还给他脸干嘛
Nikey胖胖的兔子,海外,女,84,12273,拍出来脸了吗？
浅璟Maya,海外 新西兰,女,242,59,"能别用我们黄选做头像不，丢人姐姐<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
23个小时的清醒梦,广东,女,6,1270,女的啥都没做错动不动就被人开盒，男的拍一下脸就不行了，好脆啊
靠谱de贰姑娘,江西 景德镇,女,150,118,多给你家人吸点二手烟
happy_百分之两百,其他,女,7,30,"算了算了就这个脑子还是别乱发表意见了，做你的春梦去吧<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
出门采红怜,其他,女,32,415,惨个屁，吸烟的时候怎么没想过周围被迫吸二手烟的人，这些人更惨
绾绾月光,黑龙江,女,31,149,"这种找骂的方式还是同一次见<img alt=""[弱]"" title=""[弱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2018new_ruo_org.png"" />"
小猫今天努力了吗,其他,女,163,494,所以素人就能把烟头丢别人碗里？
真是一只橘机,其他,男,28,140,隐私权是在不违反法律条件的情况下才拥有的……
zzq我是,安徽 合肥,女,55,77,嗯？那为什么素人能发明星的视频？？
啊蒙童鞋,海外 澳大利亚,女,347,609,作为公众人物吸二手烟就对了吗？
yuai-yu,其他,女,1,22,"学没学过法一群法盲<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
B-3_3-B,陕西 西安,男,1157,11,大家快来看，有🦈🐝出现
吃点盒饭得了,河南,女,52,1050,"拍的你？室内不抽烟不就行了<img alt=""[给力]"" title=""[给力]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/36/2018new_geili_org.png"" /><img alt=""[给力]"" title=""[给力]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/36/2018new_geili_org.png"" /><img alt=""[给力]"" title=""[给力]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/36/2018new_geili_org.png"" />"
双J粉-周蔡,云南,男,2415,10799,麻烦把这个博主扒出来
阿不信阿,北京 海淀区,女,582,1782,2件事1.室内吸烟2.扔到碗里。 都不对
好方萝,北京 昌平区,女,129,284,不要脸的人。人人喊打
独角兽_MM,北京 丰台区,女,480,19771,"你也打长沙的12345问问有规章制度说不让吗？违法吗？<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
Alvitr宝,广东 汕头,女,2457,3,他都把烟头塞你饭碗了，你还要温柔对他是吧
麻瓜阿巴fei,其他,女,10,3,拍到它脸了吗？知道它长啥样了吗？祝你天天吸二手烟啊
包包扶你起来,广东 湛江,男,50,4,"这也没露脸啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
夏xia223,湖南,女,66,515,对待不讲理的人就应该这样
骂我担请去坐牢,河北,女,146,1097,"不要脸为什么不能拍<img alt=""[挤眼]"" title=""[挤眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/43/2018new_jiyan_org.png"" />都没脸了拍到能怎样呢 <img alt=""[挤眼]"" title=""[挤眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/43/2018new_jiyan_org.png"" />"
无恙64158,其他,女,1,69,法律有相关规定公众人物不能发素人视频吗
宿舍养鸡,其他,男,5,203,我看你是纯碱
ktlga,江苏 无锡,女,152,117,哥们不是公众人物 普通人被人打了手机烟头扔碗里 你不发视频？？你都要破防的不得了吧
昵称又没,其他,女,72,700,人家就发了 咋了
做个快乐的蟹老板,上海 徐汇区,女,197,33,你这逻辑真的像我我奶早些年养的猪
小猫它不会画画,海外,男,1379,12111,你就是室内抽烟的那种吧
双子music0924,湖北 黄石,女,11,14,二手烟到你癌细胞里
炮仗萌猫,其他,女,11319,2457,什么人啊
炮仗萌猫,其他,女,11319,2457,为身边人考虑下好吧
修狗在干嘛呢,山东 济南,女,527,331,"<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" /><img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" /><img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />"
修狗在干嘛呢,山东 济南,女,527,331,有点道德吧
1007_紫夜星星海x,其他,男,596,14671,什么时候真的管了才是真的进步了
1007_紫夜星星海x,其他,男,596,14671,每天出门，每隔一分钟就有人吐痰or抽烟，恶心🤢🤢🤢
评论罗伯特,海外,女,1480224,86,这小猴子喝咖啡的样子，萌翻了！真是太可爱了。
