昵称,地区,性别,粉丝数,用户发布微博数量,评论
WhjwyuyuYu_玉,山东 威海,女,2829,4963,"<a href=""//s.weibo.com/weibo?q=%23%E5%BE%90%E5%A8%87%E5%8A%9D%E9%98%BB%E7%94%B7%E5%AD%90%E9%A4%90%E5%8E%85%E5%86%85%E6%8A%BD%E7%83%9F%E8%A2%AB%E6%8A%A2%E6%89%8B%E6%9C%BA%23"" target=""_blank"">#徐娇劝阻男子餐厅内抽烟被抢手机#</a> 这波我站徐娇"
yuki_心想事成,上海 长宁区,女,320,2693,原来长沙室内是不禁烟的啊。
银河库洛米_,福建 福州,男,951,414,"长沙室内不禁烟？？？<img alt=""[黑线]"" title=""[黑线]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a3/2018new_heixian_org.png"" />"
废材杰克,湖北 武汉,男,735172,3903,支持公共场合室内禁烟
钢铁侠911-AI硬件,香港,男,1101783,107431,"太扯蛋了，没法接受//<a href=/n/浪什么时候凉 usercard=""name=@浪什么时候凉"">@浪什么时候凉</a>:太好了，餐馆是公共场合吧，谁想吸二手烟啊这次不管的话，以后更无法无天了。要吸烟自己回家吸个够没人管你，但在餐馆吸会影响到其他顾客。长沙还是太先进了，很快就进化到火车站、高铁站随便吸啦<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
眼睫毛-angel,广东 深圳,女,1314,927,在广州，所有的商场公共场合都是禁烟的。
S-小-now要努力努力,四川 成都,女,447,2352,即使是不违法，但是只要有人当场表示反对，并要求停止室内抽烟，那就应该无条件掐灭！
Cristiano_Messi7,江西,男,1136,68,长沙确实好玩，去过好几次，以后还会去
与安44607,其他,女,24,722,罚款啊，多罚点就长记性了，1.为国家增加了收入2.为广大群众的身体健康3.提高了群众的素质
FergieFANS,海外 美国,男,311,1085,欢迎大家来到文明大都市长沙来吸二手烟
网友36号,其他,男,143,29,"长沙餐厅是允许抽烟的？！<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" />匪夷所思，感觉发现了新大陆。。。"
